,name,rating,review,company_type,Head_Quarters,Company_Age,No_of_Employee
1569,NeoSoft Technologi...,3.6,(233 Reviews),Private,"Mumbai,Maharashtra + 5 more",25 years old,1k-5k employees (Global)
1570,Echobooom Manageme...,3.8,(233 Reviews),Private,"Mumbai,Maharashtra + 13 more",1 years old,11-50 employees (India)
1571,UCAL Fuel Systems,4.0,(232 Reviews),Public,"Chennai,Tamil Nadu + 10 more",36 years old,1k-5k employees (Global)
1572,Aerial Telecom Sol...,3.8,(232 Reviews),Private,"Mohali,Punjab + 45 more",11 years old,1k-5k employees (Global)
1573,Doosan Power Syste...,4.0,(232 Reviews),Private,Crawley + 21 more,11 years old,501-1k employees (India)
1574,Svatantra Microfin,4.4,(232 Reviews),Private,"Mumbai,Maharashtra + 91 more",9 years old,1k-5k employees (India)
1575,Microtek Internati...,3.8,(232 Reviews),Private,"Delhi/NCR,Delhi + 45 more",41 years old,501-1k employees (Global)
1576,CALIBEHR,3.7,(232 Reviews),Private,"Mumbai,Maharashtra + 43 more",42 years old,10k-50k employees (Global)
1577,ETA Engineering,3.9,(232 Reviews),Private,"Chennai,Tamil Nadu + 18 more",27 years old,1k-5k employees (Global)
1578,Shadowfax Technolo...,3.6,(232 Reviews),Public,Bangalore + 46 more,6 years old,1k-5k employees (India)
1579,Satyam Auto Compon...,4.0,(231 Reviews),Private,"Ludhiana,Punjab + 14 more",20 years old,1k-5k employees (Global)
1580,Hella,4.1,(231 Reviews),Private,"Lippstadt,Lippstadt + 14 more",122 years old,201-500 employees (India)
1581,Munjal Showa,3.7,(231 Reviews),Public,"Gurgaon/Gurugram,Haryana + 10 more",36 years old,1k-5k employees (Global)
1582,Barclays Global Se...,4.2,(231 Reviews),Private,Pune + 4 more,14 years old,201-500 employees (India)
1583,HEISCO,4.1,(230 Reviews),Private,Safat + 17 more,47 years old,201-500 employees (India)
1584,Central Reserve Po...,4.4,(230 Reviews),Govt Organisation,"Delhi/NCR,New Delhi + 44 more",82 years old,1 Lakh+ employees (Global)
